taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V1,NXPI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MCHP,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,LSCC,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,STM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ON,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,POWI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,VSH,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,DIOD,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ALGM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SITM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TSEM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SYNA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SWKS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,QRVO,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SLAB,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CRUS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMBA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TSM,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,GFS,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,INTC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,ASX,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMKR,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,UMC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ASML,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMAT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,LRCX,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,KLAC,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MKSI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ENTG,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,NVMI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,VECO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ONTO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CAMT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ACLS,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ICHR,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,UCTT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,KLIC,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,PLAB,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,IPGP,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,LPKF,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TER,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,COHU,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,FORM,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,NVMI,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,KLAC,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,ONTO,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,CAMT,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,KLIC,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,AEHR,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,DELL,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,HPE,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,SMCI,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,SANM,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,JBL,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CLS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,FLEX,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PLXS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,TTMI,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,BHE,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CTS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
