taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V2,SIMO,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MPWR,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ADI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TXN,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NXPI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MCHP,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,LSCC,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,STM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ON,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,POWI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VSH,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,DIOD,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ALGM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SITM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TSEM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SYNA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SWKS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,QRVO,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SLAB,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CRUS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMBA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AOSL,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NVTS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VICR,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,TSM,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,GFS,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,INTC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,ASX,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMKR,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,UMC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ASML,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMAT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,LRCX,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,KLAC,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MKSI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ENTG,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NVMI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VECO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ONTO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CAMT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ACLS,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ICHR,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,UCTT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,KLIC,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,PLAB,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,IPGP,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ACMR,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TER,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,COHU,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,FORM,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NVMI,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,KLAC,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,ONTO,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,CAMT,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,KLIC,Semiconductor manufacturing,Test and process control,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,AEHR,Semiconductor manufacturing,Test and process control,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,DELL,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,HPE,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SMCI,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SANM,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,JBL,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CLS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FLEX,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,PLXS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,TTMI,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,BHE,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CTS,IT hardware,Servers / ODM / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NTAP,IT hardware,Storage,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,P,IT hardware,Storage,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,WDC,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,STX,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,MU,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,SNDK,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,ZBRA,IT hardware,Broad hardware / indirect exposure,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ANET,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CSCO,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NVDA,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,AVGO,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,MRVL,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,HPE,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,EXTR,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CIEN,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NOK,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,COHR,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,LITE,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FN,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,AAOI,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,MTSI,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SMTC,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CRDO,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ALAB,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CIEN,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,POET,Networking,Optics / photonics / high-speed connectivity,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,APH,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,TEL,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,BDC,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,BELFB,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ROG,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,LFUS,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,KN,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SANM,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,FLEX,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,JBL,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,PLXS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,TTMI,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,BHE,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,CTS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,CLS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,GLW,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,BDC,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,APH,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,TEL,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,BELFB,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,LFUS,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,ROG,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,KN,Cables & connectivity,"Fiber, copper, connectors, structured cabling",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,VRT,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ETN,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NVT,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,HUBB,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,POWL,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,GEV,Electrical & power systems,"UPS, switchgear, PDU",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ETN,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,HUBB,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,NVT,Electrical & power systems,Electrical components & controls,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,ROK,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,EMR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,DOV,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AEIS,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,PH,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NPO,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,IEX,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NDSN,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ITT,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,GGG,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,RRX,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
