ticker,dimension,source_identity,fiscal_year,fiscal_quarter,reportperiod,source_date,lastupdated,prior_semantic_fingerprint,old_history_row_count,new_history_row_count,removed_position,was_oldest,was_newest,older_rows_remaining,newer_rows_remaining,prior_min_reportperiod,current_min_reportperiod,current_max_reportperiod,canonical_quarter_exists,canonical_stable_quarter_identity,first_public_result_date,source_availability_date,paired_arq_mrq_removal,preliminary_classification,classification_reason
DLTH,MRQ,DLTH|MRQ|2016-07-31|2016-07-31,2017,Q2,2016-07-31,2016-07-31,2026-06-09,97f7bd1d02d4ef8c4dc1bd7076382699043ba02bd40ff0bc66e7910ca5b6552b,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-30,2026-08-02,TRUE,684|2017|Q2,2016-09-09,2016-09-09,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
GIII,ARQ,GIII|ARQ|2016-09-01|2016-07-31,2017,Q2,2016-07-31,2016-09-01,2026-06-08,e97583266ac1cc2c3109e1fc3a79bbdcb4636cd96dfb413239bf0ae1848a1473,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,947|2017|Q2,2016-09-01,2016-09-01,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
GIII,MRQ,GIII|MRQ|2016-07-31|2016-07-31,2017,Q2,2016-07-31,2016-07-31,2026-06-08,ff40e0a0f945f4f0abd9347b431c7d8efc4876e2d76daeed4e86ba9488f7ae7f,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,947|2017|Q2,2016-09-01,2016-09-01,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
IPDN,ARQ,IPDN|ARQ|2016-08-15|2016-06-30,2016,Q2,2016-06-30,2016-08-15,2026-05-15,03657acf7c332b8cc9903256768f8e3b73cc62d1eabdd0011a18a5ae3489c84c,41,40,oldest,TRUE,FALSE,0,40,2016-06-30,2016-09-30,2026-06-30,TRUE,1152|2016|Q2,2016-08-15,2016-08-15,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
IPDN,MRQ,IPDN|MRQ|2016-06-30|2016-06-30,2016,Q2,2016-06-30,2016-06-30,2026-05-15,75d5a856e8531ecee80da2e8697ce6dd44fd1b494edd4343c61410f3541c97f9,41,40,oldest,TRUE,FALSE,0,40,2016-06-30,2016-09-30,2026-06-30,TRUE,1152|2016|Q2,2016-08-15,2016-08-15,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
IRM,ARQ,IRM|ARQ|2016-08-04|2016-06-30,2016,Q2,2016-06-30,2016-08-04,2026-08-06,cddf225ff0ccfc670822761b8a6893269730611eef31854a810609065cfb2bce,41,40,oldest,TRUE,FALSE,0,40,2016-06-30,2016-09-30,2026-06-30,TRUE,1159|2016|Q2,2016-08-04,2016-08-04,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
IRM,MRQ,IRM|MRQ|2016-06-30|2016-06-30,2016,Q2,2016-06-30,2016-06-30,2026-08-06,e22051598c6f0b795d169957f2f96c038c9226ce9a6d467e64b3370e219b881b,41,40,oldest,TRUE,FALSE,0,40,2016-06-30,2016-09-30,2026-06-30,TRUE,1159|2016|Q2,2016-08-04,2016-08-04,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
JAGX,ARQ,JAGX|ARQ|2016-08-15|2016-06-30,2016,Q2,2016-06-30,2016-08-15,2026-05-20,670c1fcad851df4fa9acb3e9fd103e09ad954f877f6d94b1fb6630469af88408,42,41,oldest,TRUE,FALSE,0,41,2016-06-30,2016-09-30,2026-06-30,TRUE,1177|2016|Q2,2016-08-15,2016-08-15,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
JAGX,MRQ,JAGX|MRQ|2016-06-30|2016-06-30,2016,Q2,2016-06-30,2016-06-30,2026-05-20,1681b60d8a2672d9e66305ff7d6a281b22bad81301fbb3a082ad667a206d5743,41,40,oldest,TRUE,FALSE,0,40,2016-06-30,2016-09-30,2026-06-30,TRUE,1177|2016|Q2,2016-08-15,2016-08-15,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
NAMS,ARQ,NAMS|ARQ|2022-11-28|2022-06-30,2022,Q2,2022-06-30,2022-11-28,2026-08-06,541f68e00aaa9a351b13a980a74c805470cbafe65f479f108c5e821229fb2794,23,22,10,FALSE,FALSE,9,13,2020-10-07,2020-10-07,2026-06-30,TRUE,1512|2022|Q2,2022-10-13,2022-10-13,FALSE,TRUE_SOURCE_REMOVAL,Interior source-key removal only; nine older ARQ rows remain and an alternate ARQ key plus MRQ still represent the same canonical quarter
