Analyysitulokset (2025-10-17 15:26:51) — tickerille SFM
Piercing Pattern: 9 kpl

Löydetyt tapahtumat (yhden rivin CSV: ticker,päivä,kuvio):
SFM,2023-07-31,Piercing Pattern
SFM,2023-10-09,Piercing Pattern
SFM,2024-05-22,Piercing Pattern
SFM,2025-01-16,Piercing Pattern
SFM,2025-02-19,Piercing Pattern
SFM,2025-02-28,Piercing Pattern
SFM,2025-04-09,Piercing Pattern
SFM,2025-04-24,Piercing Pattern
SFM,2025-05-23,Piercing Pattern
